model,target,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,mean_cv_mse,std_cv_mse,rank_test_score,test_mse
XGBoost,Y1,0.01,3,100,17.99751582789155,1.6851596900157366,8,19.47894929326906
XGBoost,Y1,0.01,3,200,5.229802787084257,0.4805609676843341,6,5.995193181692147
XGBoost,Y1,0.01,5,100,15.56423504356359,1.4799954917354108,7,16.430313852974805
XGBoost,Y1,0.01,5,200,2.772721342632957,0.31970536284544104,5,2.996519693570468
XGBoost,Y1,0.1,3,100,0.2533323658379947,0.06431572209903207,4,0.26878371203196
XGBoost,Y1,0.1,3,200,0.19648920618126525,0.04660680743655883,3,0.2031532026039221
XGBoost,Y1,0.1,5,100,0.16809143693395345,0.01722731501256026,2,0.1851182708601078
XGBoost,Y1,0.1,5,200,0.13796116752249526,0.013277539854551457,1,0.15167048977824646
XGBoost,Y2,0.01,3,100,18.077183081657957,1.1667640386239233,8,19.129337247406415
XGBoost,Y2,0.01,3,200,6.933394509388533,0.5236237749350567,6,7.251938479018561
XGBoost,Y2,0.01,5,100,16.26374393329097,0.8527851972526239,7,16.925539618222746
XGBoost,Y2,0.01,5,200,5.246097858662251,0.2874064164633073,5,5.299899736428087
XGBoost,Y2,0.1,3,100,2.378495642762021,0.13418201156176063,4,2.478471476168659
XGBoost,Y2,0.1,3,200,1.7438442848797298,0.15530348487275436,3,1.7876472340906164
XGBoost,Y2,0.1,5,100,1.4104901814394901,0.41504506407559894,2,1.2737337410689316
XGBoost,Y2,0.1,5,200,1.0529737668879577,0.32692775183585776,1,0.8625170106049915
